"","dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","week","growths","avgs"
"41",2011-02-17,"1","0","2",FALSE,"4",TRUE,"1",17.869153,21.4329,50.5,15.416968,259,2216,2475,7,1.32967747931964,2043.71428571429
"42",2011-02-18,"1","0","2",FALSE,"5",TRUE,"1",21.388347,25.59915,51.6667,17.749975,579,2348,2927,7,1.32967747931964,2043.71428571429
"43",2011-02-19,"1","0","2",FALSE,"6",FALSE,"1",16.365847,19.5702,18.7917,34.000021,532,1103,1635,8,0.782119390465539,1598.42857142857
"44",2011-02-20,"1","0","2",FALSE,"0",FALSE,"1",11.693897,13.8665,40.7826,14.956745,639,1173,1812,8,0.782119390465539,1598.42857142857
"45",2011-02-21,"1","0","2",TRUE,"1",FALSE,"2",12.436653,14.20375,60.5,20.625682,195,912,1107,8,0.782119390465539,1598.42857142857
"46",2011-02-22,"1","0","2",FALSE,"2",TRUE,"1",7.471102,9.30165,57.7778,13.110761,74,1376,1450,8,0.782119390465539,1598.42857142857
"47",2011-02-23,"1","0","2",FALSE,"3",TRUE,"1",9.091299,12.28585,42.3043,6.305571,139,1778,1917,8,0.782119390465539,1598.42857142857
"48",2011-02-24,"1","0","2",FALSE,"4",TRUE,"2",12.121732,14.45955,69.7391,16.783232,100,1707,1807,8,0.782119390465539,1598.42857142857
"49",2011-02-25,"1","0","2",FALSE,"5",TRUE,"2",14.938268,17.52305,71.2174,23.218113,120,1341,1461,8,0.782119390465539,1598.42857142857
"50",2011-02-26,"1","0","2",FALSE,"6",FALSE,"1",11.5825,14.1096,53.7917,12.500257,424,1545,1969,9,1.20037536866565,1918.71428571429
"51",2011-02-27,"1","0","2",FALSE,"0",FALSE,"1",14.082598,17.55545,68,8.391616,694,1708,2402,9,1.20037536866565,1918.71428571429
"52",2011-02-28,"1","0","2",FALSE,"1",TRUE,"2",16.698193,20.0059,87.6364,19.408962,81,1365,1446,9,1.20037536866565,1918.71428571429
"53",2011-03-01,"1","0","3",FALSE,"2",TRUE,"1",10.933347,13.19395,53.5,14.500475,137,1714,1851,9,1.20037536866565,1918.71428571429
"54",2011-03-02,"1","0","3",FALSE,"3",TRUE,"1",13.735,16.00355,44.9583,20.624811,231,1903,2134,9,1.20037536866565,1918.71428571429
"55",2011-03-03,"1","0","3",FALSE,"4",TRUE,"1",8.131653,10.00665,31.8333,15.125518,123,1562,1685,9,1.20037536866565,1918.71428571429
"56",2011-03-04,"1","0","3",FALSE,"5",TRUE,"2",10.728347,12.78395,61.0417,13.624182,214,1730,1944,9,1.20037536866565,1918.71428571429
"57",2011-03-05,"1","0","3",FALSE,"6",FALSE,"2",15.750847,18.93895,78.9167,16.875357,640,1437,2077,10,0.83225374134465,1596.85714285714
"58",2011-03-06,"1","0","3",FALSE,"0",FALSE,"2",15.437402,18.3126,94.8261,23.000229,114,491,605,10,0.83225374134465,1596.85714285714
"59",2011-03-07,"1","0","3",FALSE,"1",TRUE,"1",10.731299,11.92305,55.1304,22.870584,244,1628,1872,10,0.83225374134465,1596.85714285714
"60",2011-03-08,"1","0","3",FALSE,"2",TRUE,"1",11.9925,15.12,42.0833,8.08355,316,1817,2133,10,0.83225374134465,1596.85714285714
"61",2011-03-09,"1","0","3",FALSE,"3",TRUE,"2",12.129153,14.3304,77.5417,14.75005,191,1700,1891,10,0.83225374134465,1596.85714285714
"62",2011-03-10,"1","0","3",FALSE,"4",TRUE,"3",15.952731,19.2834,0,17.545759,46,577,623,10,0.83225374134465,1596.85714285714
"63",2011-03-11,"1","0","3",FALSE,"5",TRUE,"2",12.977402,15.25,64.9565,15.60899,247,1730,1977,10,0.83225374134465,1596.85714285714
"64",2011-03-12,"1","0","3",FALSE,"6",FALSE,"1",13.495847,16.2875,59.4583,14.791925,724,1408,2132,11,1.50527822508499,2403.71428571429
"65",2011-03-13,"1","0","3",FALSE,"0",FALSE,"1",15.758268,19.00455,52.7391,18.130468,982,1435,2417,11,1.50527822508499,2403.71428571429
"66",2011-03-14,"1","0","3",FALSE,"1",TRUE,"1",13.333897,16.6,49.6957,9.174042,359,1687,2046,11,1.50527822508499,2403.71428571429
"67",2011-03-15,"1","0","3",FALSE,"2",TRUE,"2",13.013031,15.9089,65.5652,12.348703,289,1767,2056,11,1.50527822508499,2403.71428571429
"68",2011-03-16,"1","0","3",FALSE,"3",TRUE,"2",14.973897,18.3465,77.6522,13.608839,321,1871,2192,11,1.50527822508499,2403.71428571429
"69",2011-03-17,"1","0","3",FALSE,"4",TRUE,"1",17.015,20.51665,60.2917,14.041793,424,2320,2744,11,1.50527822508499,2403.71428571429
"70",2011-03-18,"1","0","3",FALSE,"5",TRUE,"1",22.14,26.35045,52.5217,15.478139,884,2355,3239,11,1.50527822508499,2403.71428571429
"71",2011-03-19,"1","0","3",FALSE,"6",FALSE,"1",19.3725,23.32625,37.9167,24.667189,1424,1693,3117,12,0.984428860097468,2366.28571428571
"72",2011-03-20,"1","0","3",FALSE,"0",FALSE,"1",13.6325,16.2875,47.375,13.917307,1047,1424,2471,12,0.984428860097468,2366.28571428571
"73",2011-03-21,"2","0","3",FALSE,"1",TRUE,"2",17.647835,20.48675,73.7391,19.348461,401,1676,2077,12,0.984428860097468,2366.28571428571
"74",2011-03-22,"2","0","3",FALSE,"2",TRUE,"1",18.108347,22.0321,62.4583,15.12525,460,2243,2703,12,0.984428860097468,2366.28571428571
"75",2011-03-23,"2","0","3",FALSE,"3",TRUE,"2",14.225237,16.89695,83.9565,15.695487,203,1918,2121,12,0.984428860097468,2366.28571428571
"76",2011-03-24,"2","0","3",FALSE,"4",TRUE,"2",11.685,13.54165,80.5833,16.333729,166,1699,1865,12,0.984428860097468,2366.28571428571
"77",2011-03-25,"2","0","3",FALSE,"5",TRUE,"1",10.830847,12.8156,49.5,15.458575,300,1910,2210,12,0.984428860097468,2366.28571428571
"78",2011-03-26,"2","0","3",FALSE,"6",FALSE,"1",10.899153,12.87855,39.4167,14.041257,981,1515,2496,13,0.850639942042985,2012.85714285714
"79",2011-03-27,"2","0","3",FALSE,"0",FALSE,"2",10.374763,12.51695,49.3913,12.3481,472,1221,1693,13,0.850639942042985,2012.85714285714
"80",2011-03-28,"2","0","3",FALSE,"1",TRUE,"1",10.838268,12.8787,30.2174,14.217668,222,1806,2028,13,0.850639942042985,2012.85714285714
"81",2011-03-29,"2","0","3",FALSE,"2",TRUE,"1",12.4025,14.6454,31.4167,15.208732,317,2108,2425,13,0.850639942042985,2012.85714285714
"82",2011-03-30,"2","0","3",FALSE,"3",TRUE,"2",12.3,14.8675,64.6667,11.583496,168,1368,1536,13,0.850639942042985,2012.85714285714
"83",2011-03-31,"2","0","3",FALSE,"4",TRUE,"3",11.001653,12.87875,91.8333,14.582282,179,1506,1685,13,0.850639942042985,2012.85714285714
"84",2011-04-01,"2","0","4",FALSE,"5",TRUE,"2",12.3,14.1727,68.625,17.333436,307,1920,2227,13,0.850639942042985,2012.85714285714
"85",2011-04-02,"2","0","4",FALSE,"6",FALSE,"2",12.915,15.78185,65.375,13.208782,898,1354,2252,14,1.26550745209368,2547.28571428571
"86",2011-04-03,"2","0","4",FALSE,"0",FALSE,"1",15.511653,18.93835,48,12.208271,1651,1598,3249,14,1.26550745209368,2547.28571428571
"87",2011-04-04,"2","0","4",FALSE,"1",TRUE,"1",23.506653,27.14645,42.625,25.833257,734,2381,3115,14,1.26550745209368,2547.28571428571
"88",2011-04-05,"2","0","4",FALSE,"2",TRUE,"2",16.980847,19.9175,64.2083,26.000489,167,1628,1795,14,1.26550745209368,2547.28571428571
"89",2011-04-06,"2","0","4",FALSE,"3",TRUE,"1",16.024153,19.3804,47.0833,17.625221,413,2395,2808,14,1.26550745209368,2547.28571428571
"90",2011-04-07,"2","0","4",FALSE,"4",TRUE,"1",17.9375,21.6848,60.2917,10.874904,571,2570,3141,14,1.26550745209368,2547.28571428571
"91",2011-04-08,"2","0","4",FALSE,"5",TRUE,"2",13.769153,16.22395,83.625,15.208464,172,1299,1471,14,1.26550745209368,2547.28571428571
"92",2011-04-09,"2","0","4",FALSE,"6",FALSE,"2",14.0425,17.07645,87.75,8.916561,879,1576,2455,15,1.081655543716,2755.28571428571
"93",2011-04-10,"2","0","4",FALSE,"0",FALSE,"2",17.493347,21.33685,85.75,9.833389,1188,1707,2895,15,1.081655543716,2755.28571428571
"94",2011-04-11,"2","0","4",FALSE,"1",TRUE,"2",24.421732,28.26085,71.6956,21.739758,855,2493,3348,15,1.081655543716,2755.28571428571
"95",2011-04-12,"2","0","4",FALSE,"2",TRUE,"2",20.6025,24.6527,73.9167,18.416893,257,1777,2034,15,1.081655543716,2755.28571428571
"96",2011-04-13,"2","0","4",FALSE,"3",TRUE,"2",16.9125,20.86415,81.9167,16.791339,209,1953,2162,15,1.081655543716,2755.28571428571
"97",2011-04-14,"2","0","4",FALSE,"4",TRUE,"1",19.1675,23.1371,54.0417,7.4169,529,2738,3267,15,1.081655543716,2755.28571428571
"98",2011-04-15,"2","0","4",TRUE,"5",FALSE,"1",18.313347,22.09565,67.125,15.167125,642,2484,3126,15,1.081655543716,2755.28571428571
"99",2011-04-16,"2","0","4",FALSE,"6",FALSE,"3",17.664153,21.2746,88.8333,22.834136,121,674,795,16,1.08819412039197,2998.28571428571
"100",2011-04-17,"2","0","4",FALSE,"0",FALSE,"1",18.723347,22.2848,47.9583,20.334232,1558,2186,3744,16,1.08819412039197,2998.28571428571
"101",2011-04-18,"2","0","4",FALSE,"1",TRUE,"1",21.0125,25.1573,54.25,10.958989,669,2760,3429,16,1.08819412039197,2998.28571428571
"102",2011-04-19,"2","0","4",FALSE,"2",TRUE,"2",20.739153,24.4629,66.5833,10.584057,409,2795,3204,16,1.08819412039197,2998.28571428571
"103",2011-04-20,"2","0","4",FALSE,"3",TRUE,"1",24.395,28.2196,61.4167,16.208975,613,3331,3944,16,1.08819412039197,2998.28571428571
"104",2011-04-21,"2","0","4",FALSE,"4",TRUE,"1",18.825847,22.6946,40.7083,21.792286,745,3444,4189,16,1.08819412039197,2998.28571428571
"105",2011-04-22,"2","0","4",FALSE,"5",TRUE,"2",13.803347,16.0977,72.9583,14.707907,177,1506,1683,16,1.08819412039197,2998.28571428571
"106",2011-04-23,"2","0","4",FALSE,"6",FALSE,"2",18.86,22.50605,88.7917,15.458575,1462,2574,4036,17,1.39246235944349,4175
"107",2011-04-24,"2","0","4",FALSE,"0",FALSE,"2",23.848347,27.58815,81.0833,12.875725,1710,2481,4191,17,1.39246235944349,4175
"108",2011-04-25,"2","0","4",FALSE,"1",TRUE,"1",24.873347,28.725,77.6667,12.417311,773,3300,4073,17,1.39246235944349,4175
"109",2011-04-26,"2","0","4",FALSE,"2",TRUE,"1",25.898347,29.70415,72.9167,21.8755,678,3722,4400,17,1.39246235944349,4175
"110",2011-04-27,"2","0","4",FALSE,"3",TRUE,"2",25.42,28.7571,83.5417,20.9174,547,3325,3872,17,1.39246235944349,4175
"111",2011-04-28,"2","0","4",FALSE,"4",TRUE,"2",25.3175,28.94645,70.0833,21.500836,569,3489,4058,17,1.39246235944349,4175
"112",2011-04-29,"2","0","4",FALSE,"5",TRUE,"1",20.91,24.87315,45.7083,16.084221,878,3717,4595,17,1.39246235944349,4175
"113",2011-04-30,"2","0","4",FALSE,"6",FALSE,"1",19.3725,23.20105,50.3333,15.750025,1965,3347,5312,18,0.998768177929855,4169.85714285714
"114",2011-05-01,"2","0","5",FALSE,"0",FALSE,"2",18.518347,22.4102,76.2083,7.125718,1138,2213,3351,18,0.998768177929855,4169.85714285714
"115",2011-05-02,"2","0","5",FALSE,"1",TRUE,"2",22.515847,26.64165,73,12.291418,847,3554,4401,18,0.998768177929855,4169.85714285714
"116",2011-05-03,"2","0","5",FALSE,"2",TRUE,"2",25.283347,29.10395,69.7083,22.958689,603,3848,4451,18,0.998768177929855,4169.85714285714
"117",2011-05-04,"2","0","5",FALSE,"3",TRUE,"2",16.980847,20.2325,73.7083,22.042732,255,2378,2633,18,0.998768177929855,4169.85714285714
"118",2011-05-05,"2","0","5",FALSE,"4",TRUE,"1",18.825847,22.09585,44.4167,19.791264,614,3819,4433,18,0.998768177929855,4169.85714285714
"119",2011-05-06,"2","0","5",FALSE,"5",TRUE,"1",19.645847,23.70585,59,15.292482,894,3714,4608,18,0.998768177929855,4169.85714285714
"120",2011-05-07,"2","0","5",FALSE,"6",FALSE,"1",21.32,25.63105,54.125,10.75015,1612,3102,4714,19,1.0744801123711,4480.42857142857
"121",2011-05-08,"2","0","5",FALSE,"0",FALSE,"1",21.661653,25.94665,63.1667,5.0007125,1401,2932,4333,19,1.0744801123711,4480.42857142857
"122",2011-05-09,"2","0","5",FALSE,"1",TRUE,"1",21.8325,26.2623,58.875,11.792,664,3698,4362,19,1.0744801123711,4480.42857142857
"123",2011-05-10,"2","0","5",FALSE,"2",TRUE,"1",21.8325,26.13605,48.9167,7.749957,694,4109,4803,19,1.0744801123711,4480.42857142857
"124",2011-05-11,"2","0","5",FALSE,"3",TRUE,"1",22.2425,26.42,63.2917,8.083014,550,3632,4182,19,1.0744801123711,4480.42857142857
"125",2011-05-12,"2","0","5",FALSE,"4",TRUE,"1",21.935,26.16815,74.75,12.707689,695,4169,4864,19,1.0744801123711,4480.42857142857
"126",2011-05-13,"2","0","5",FALSE,"5",TRUE,"2",21.0125,24.715,86.3333,12.041575,692,3413,4105,19,1.0744801123711,4480.42857142857
"127",2011-05-14,"2","0","5",FALSE,"6",FALSE,"2",21.354153,25.03145,92.25,9.04165,902,2507,3409,20,0.937091477218378,4198.57142857143
"128",2011-05-15,"2","0","5",FALSE,"0",FALSE,"2",23.0625,26.8,86.7083,10.249593,1582,2971,4553,20,0.937091477218378,4198.57142857143
"129",2011-05-16,"2","0","5",FALSE,"1",TRUE,"1",23.6775,27.5256,78.7917,8.500357,773,3185,3958,20,0.937091477218378,4198.57142857143
"130",2011-05-17,"2","0","5",FALSE,"2",TRUE,"2",23.028347,26.92645,83.7917,18.582718,678,3445,4123,20,0.937091477218378,4198.57142857143
"131",2011-05-18,"2","0","5",FALSE,"3",TRUE,"2",22.55,26.3579,87,13.499964,536,3319,3855,20,0.937091477218378,4198.57142857143
"132",2011-05-19,"2","0","5",FALSE,"4",TRUE,"2",21.764153,25.5371,82.9583,7.250271,735,3840,4575,20,0.937091477218378,4198.57142857143
"133",2011-05-20,"2","0","5",FALSE,"5",TRUE,"1",22.003347,26.4521,71.9583,8.375871,909,4008,4917,20,0.937091477218378,4198.57142857143
"134",2011-05-21,"2","0","5",FALSE,"6",FALSE,"1",24.7025,28.59875,62.6667,8.08355,2258,3547,5805,21,1.14205512078938,4795
"135",2011-05-22,"2","0","5",FALSE,"0",FALSE,"1",24.770847,28.725,74.9583,9.916536,1576,3084,4660,21,1.14205512078938,4795
"136",2011-05-23,"2","0","5",FALSE,"1",TRUE,"2",25.898347,29.5148,81,15.667414,836,3438,4274,21,1.14205512078938,4795
"137",2011-05-24,"2","0","5",FALSE,"2",TRUE,"2",27.06,30.24065,74.0833,13.875164,659,3833,4492,21,1.14205512078938,4795
"138",2011-05-25,"2","0","5",FALSE,"3",TRUE,"1",27.094153,30.7771,69.625,10.333611,740,4238,4978,21,1.14205512078938,4795
"139",2011-05-26,"2","0","5",FALSE,"4",TRUE,"1",29.041653,32.7344,67.75,13.376014,758,3919,4677,21,1.14205512078938,4795
"140",2011-05-27,"2","0","5",FALSE,"5",TRUE,"1",27.948347,31.8504,65.375,16.125493,871,3808,4679,21,1.14205512078938,4795
"141",2011-05-28,"2","0","5",FALSE,"6",FALSE,"1",26.889153,30.61895,72.9583,15.416164,2001,2757,4758,22,0.949798897661254,4554.28571428571
"142",2011-05-29,"2","0","5",FALSE,"0",FALSE,"1",27.3675,30.7775,81.875,14.333846,2355,2433,4788,22,0.949798897661254,4554.28571428571
"143",2011-05-30,"2","0","5",TRUE,"1",FALSE,"1",30.066653,33.5546,68.5,8.792075,1549,2549,4098,22,0.949798897661254,4554.28571428571
"144",2011-05-31,"2","0","5",FALSE,"2",TRUE,"1",31.775,36.26915,63.6667,7.459043,673,3309,3982,22,0.949798897661254,4554.28571428571
"145",2011-06-01,"2","0","6",FALSE,"3",TRUE,"2",31.330847,36.04835,67.7083,13.875164,513,3461,3974,22,0.949798897661254,4554.28571428571
"146",2011-06-02,"2","0","6",FALSE,"4",TRUE,"1",29.315,32.1971,30.5,19.583229,736,4232,4968,22,0.949798897661254,4554.28571428571
"147",2011-06-03,"2","0","6",FALSE,"5",TRUE,"1",25.42,29.35665,35.4167,16.959107,898,4414,5312,22,0.949798897661254,4554.28571428571
"148",2011-06-04,"2","0","6",FALSE,"6",FALSE,"1",26.035,29.7348,45.625,8.250514,1869,3473,5342,23,1.02042032622334,4647.28571428571
"149",2011-06-05,"2","0","6",FALSE,"0",FALSE,"2",26.581653,30.8402,65.25,9.292364,1685,3221,4906,23,1.02042032622334,4647.28571428571
"150",2011-06-06,"2","0","6",FALSE,"1",TRUE,"1",27.811653,31.0929,60,8.167032,673,3875,4548,23,1.02042032622334,4647.28571428571
"151",2011-06-07,"2","0","6",FALSE,"2",TRUE,"1",29.0075,32.7975,59.7917,12.583136,763,4070,4833,23,1.02042032622334,4647.28571428571
"152",2011-06-08,"2","0","6",FALSE,"3",TRUE,"1",31.809153,36.36395,62.2083,9.166739,676,3725,4401,23,1.02042032622334,4647.28571428571
"153",2011-06-09,"2","0","6",FALSE,"4",TRUE,"2",33.141653,37.87895,56.8333,10.042161,563,3352,3915,23,1.02042032622334,4647.28571428571
"154",2011-06-10,"2","0","6",FALSE,"5",TRUE,"1",30.955,35.1646,60.5,9.417118,815,3771,4586,23,1.02042032622334,4647.28571428571
"155",2011-06-11,"2","0","6",FALSE,"6",FALSE,"1",29.725,33.9019,65.4583,10.37495,1729,3237,4966,24,1.01835172604593,4732.57142857143
"156",2011-06-12,"2","0","6",FALSE,"0",FALSE,"1",28.3925,32.16625,74.7917,10.958989,1467,2993,4460,24,1.01835172604593,4732.57142857143
"157",2011-06-13,"2","0","6",FALSE,"1",TRUE,"1",26.035,30.0827,49.4583,20.45845,863,4157,5020,24,1.01835172604593,4732.57142857143
"158",2011-06-14,"2","0","6",FALSE,"2",TRUE,"1",24.770847,29.5773,50.7083,18.041961,727,4164,4891,24,1.01835172604593,4732.57142857143
"159",2011-06-15,"2","0","6",FALSE,"3",TRUE,"1",25.693347,29.3877,47.1667,11.250104,769,4411,5180,24,1.01835172604593,4732.57142857143
"160",2011-06-16,"2","0","6",FALSE,"4",TRUE,"2",25.761653,29.7673,68.8333,13.833557,545,3222,3767,24,1.01835172604593,4732.57142857143
"161",2011-06-17,"2","0","6",FALSE,"5",TRUE,"1",26.615847,30.01915,73.5833,9.582943,863,3981,4844,24,1.01835172604593,4732.57142857143
"162",2011-06-18,"2","0","6",FALSE,"6",FALSE,"1",28.563347,32.1977,67.0417,8.000336,1807,3312,5119,25,0.996015455204057,4713.71428571429
"163",2011-06-19,"2","0","6",FALSE,"0",FALSE,"2",28.665847,32.2923,66.6667,6.834,1639,3105,4744,25,0.996015455204057,4713.71428571429
"164",2011-06-20,"2","0","6",FALSE,"1",TRUE,"2",26.035,29.7673,74.625,10.416825,699,3311,4010,25,0.996015455204057,4713.71428571429
"165",2011-06-21,"3","0","6",FALSE,"2",TRUE,"2",27.914153,31.8823,77.0417,11.458675,774,4061,4835,25,0.996015455204057,4713.71428571429
"166",2011-06-22,"3","0","6",FALSE,"3",TRUE,"1",30.066653,34.69145,70.75,11.541554,661,3846,4507,25,0.996015455204057,4713.71428571429
"167",2011-06-23,"3","0","6",FALSE,"4",TRUE,"2",29.861653,34.69165,70.3333,15.999868,746,4044,4790,25,0.996015455204057,4713.71428571429
"168",2011-06-24,"3","0","6",FALSE,"5",TRUE,"1",29.690847,32.82915,57.3333,14.875675,969,4022,4991,25,0.996015455204057,4713.71428571429
"169",2011-06-25,"3","0","6",FALSE,"6",FALSE,"1",28.495,32.16565,48.3333,14.041257,1782,3420,5202,26,1.08998060370954,5137.85714285714
"170",2011-06-26,"3","0","6",FALSE,"0",FALSE,"1",27.88,31.88145,51.3333,6.3337311,1920,3385,5305,26,1.08998060370954,5137.85714285714
"171",2011-06-27,"3","0","6",FALSE,"1",TRUE,"2",27.9825,31.8502,65.8333,7.208396,854,3854,4708,26,1.08998060370954,5137.85714285714
"172",2011-06-28,"3","0","6",FALSE,"2",TRUE,"1",30.510847,34.6279,63.4167,9.666961,732,3916,4648,26,1.08998060370954,5137.85714285714
"173",2011-06-29,"3","0","6",FALSE,"3",TRUE,"1",29.861653,32.7344,49.7917,17.542007,848,4377,5225,26,1.08998060370954,5137.85714285714
"174",2011-06-30,"3","0","6",FALSE,"4",TRUE,"1",28.563347,31.8504,43.4167,12.415904,1027,4488,5515,26,1.08998060370954,5137.85714285714
"175",2011-07-01,"3","0","7",FALSE,"5",TRUE,"1",29.6225,32.6081,39.625,6.874736,1246,4116,5362,26,1.08998060370954,5137.85714285714
"176",2011-07-02,"3","0","7",FALSE,"6",FALSE,"1",30.271653,33.3654,44.4583,7.709154,2204,2915,5119,27,0.938050882802725,4819.57142857143
"177",2011-07-03,"3","0","7",FALSE,"0",FALSE,"2",29.383347,33.42875,68.25,15.333486,2282,2367,4649,27,0.938050882802725,4819.57142857143
"178",2011-07-04,"3","0","7",TRUE,"1",FALSE,"2",29.793347,33.27085,63.7917,5.4591064,3065,2978,6043,27,0.938050882802725,4819.57142857143
